Time (s),Latitude (°),Longitude (°),Height (m)
0.044011406,36.9216552,140.7983467,13.30405159
1.595371908,36.92137286,140.7984364,8.706099593
2.112051515,36.92138346,140.7984177,2.705920476
3.112019729,36.9213009,140.7984379,14.70647867
4.112017439,36.92130853,140.798482,6.706733809
5.112015109,36.92129357,140.7984818,1.706809418
6.112012801,36.92128799,140.7984741,0.7067865363
7.112010539,36.92129332,140.7984787,0.7067900092
8.11200826,36.92129332,140.7984787,0.7067900092
9.112005933,36.92129332,140.7984787,0.7067900092
10.11200368,36.92128443,140.7984847,1.706875292
11.11200139,36.9212683,140.7984987,0.707051462
12.11199914,36.92126042,140.7985196,2.707231726
13.1119969,36.92125208,140.798552,2.707490438
14.11199456,36.92124885,140.7985782,1.707682091
15.11199235,36.92124927,140.7986254,1.707994904
16.11198997,36.92125665,140.7986983,2.708443778
17.11198771,36.92125723,140.7987742,6.708947054
18.11198545,36.92126716,140.7988548,7.709433715
19.11198316,36.92127856,140.7989384,7.709933543
20.11198091,36.92129755,140.7990374,6.710496817
21.11197858,36.92131658,140.7991443,5.711112444
22.11197632,36.92134088,140.7992434,5.711649491
23.11197398,36.92137538,140.7993428,6.712135932
24.11197172,36.92141347,140.7994429,6.712608319
25.11196944,36.92146586,140.7995427,6.713005083
26.11196714,36.92151259,140.7996495,7.713478388
27.11196496,36.9215607,140.799747,7.713881906
28.1119627,36.92161694,140.7998412,8.714221828
29.11196049,36.92167193,140.7999335,7.714555297
30.11195824,36.92173022,140.8000231,8.714853825
31.11195592,36.92178634,140.8001047,10.71510981
32.1119537,36.92184401,140.8001835,9.715339902
33.11195146,36.9218948,140.8002635,9.715612522
34.1119492,36.92194673,140.8003384,9.715845184
35.11194696,36.92199765,140.8004123,9.71607683
36.11194472,36.92204329,140.8004932,9.716381978
37.11194247,36.92208863,140.8005852,10.71676297
38.11194018,36.92212577,140.8006543,10.71703348
39.11193795,36.92215183,140.8007071,10.71725123
40.1119357,36.92217413,140.8007329,11.71730889
41.11193352,36.92217995,140.8007507,11.71739804
42.11193121,36.92217761,140.8007526,11.7174224
43.11192893,36.92217807,140.8007528,11.71742115
44.1119267,36.92217807,140.8007528,11.71742115
45.11192442,36.92217807,140.8007528,11.71742115
46.11192221,36.92217807,140.8007528,11.71742115
47.11191994,36.92217807,140.8007528,11.71742115
48.11191763,36.92217807,140.8007528,11.71742115
