Time (s),Yaw (°),Pitch (°),Roll (°)
0.044011406,12.5984094,-9.137214129,-179.6593666
1.595371908,9.762518477,-0.02545158179,-149.6806425
2.112051515,0.7636656757,-2.323153906,-158.2397274
3.112019729,2.019785023,4.326979307,-171.4851517
4.112017439,6.325460823,2.757580371,-170.2678032
5.112015109,5.335921849,2.428633207,-163.9992104
6.112012801,4.686688278,2.011075865,-161.4262847
7.112010539,8.541280969,2.300127428,-161.4311728
8.11200826,9.184577776,4.861912434,-161.9823386
9.112005933,2.642557484,5.06736848,-152.9407233
10.11200368,7.633549891,6.493828028,-140.5690065
11.11200139,12.37664018,6.142760225,-120.633165
12.11199914,12.57956386,6.029774693,-107.2729578
13.1119969,9.472731229,4.881979185,-97.75545417
14.11199456,13.09880111,2.913883467,-93.10119371
15.11199235,14.90049979,3.073402437,-90.23011198
16.11198997,15.60167552,2.739738555,-90.73772536
17.11198771,14.0978939,1.480034585,-93.07608529
18.11198545,10.42429682,2.370814723,-96.97140441
19.11198316,13.19039791,3.365205576,-92.61077897
20.11198091,13.13860477,3.58902813,-92.29333731
21.11197858,10.9898047,4.374420307,-91.98110152
22.11197632,10.37272186,5.551864174,-88.4542566
23.11197398,8.31145988,5.885782029,-85.83242886
24.11197172,11.14685869,6.757762704,-82.14870131
25.11196944,11.50208867,7.197361186,-78.8563874
26.11196714,10.29274644,6.006260434,-81.94014786
27.11196496,9.823538469,5.574323854,-80.1972965
28.1119627,9.254908828,3.991501451,-78.69958299
29.11196049,8.766679773,2.717751453,-78.21963672
30.11195824,9.913394864,2.402648706,-69.90310409
31.11195592,7.743800706,2.205659021,-82.49779758
32.1119537,7.320593853,1.77987228,-90.28639202
33.11195146,6.740695662,2.213569928,-79.44113421
34.1119492,4.58388357,2.225975951,-83.19631719
35.11194696,6.76013347,1.193309589,-84.66292656
36.11194472,6.554062416,1.53565616,-78.83093952
37.11194247,1.980904729,2.062345511,-79.08806887
38.11194018,-2.194734301,2.493453016,-80.85456584
39.11193795,-6.489717997,3.04085029,-85.26057206
40.1119357,-3.682739335,3.229639823,-86.73098303
41.11193352,-4.514035857,3.484448904,-87.08397818
42.11193121,6.637477048,3.148771459,-78.6598222
43.11192893,6.990217539,3.15365634,-77.10037279
44.1119267,7.064801696,3.204623155,-77.24257605
45.11192442,7.089593256,3.221919068,-76.5455778
46.11192221,7.075977843,3.16446439,-75.17228879
47.11191994,6.900951037,2.985626444,-75.09784562
48.11191763,6.694760968,2.694713099,-75.39532145
49.11191534,6.568053833,2.5765256,-75.33954351
50.11191306,6.568808506,2.572115995,-75.31377726
51.11191086,6.564167754,2.580554594,-74.44994149
52.11190858,6.57069976,2.574631751,-74.74520057
53.11190637,6.744146669,2.576580342,-78.19815806
54.11190407,13.98289871,2.416148579,-72.76297342
55.1119018,15.95739956,2.287900583,-73.52713382
56.11189952,14.30685194,2.371127359,-74.74682402
57.1118972,8.719142528,2.426082784,-81.25409442
58.1118949,13.15670721,3.032918975,-77.99268298
59.11189263,14.03356102,4.25265988,-75.42538861
60.11189046,13.70217823,3.883007246,-76.19950103
61.11188816,7.654393133,3.253936317,-80.9895169
62.11188595,11.48018475,2.150616144,-79.74854702
63.11188371,11.73784074,2.906685774,-80.21305175
64.11188142,10.1915483,2.524117084,-83.26621951
65.11187913,9.852310873,1.580970433,-80.30188462
66.11187682,7.859892958,2.592805529,-81.95999622
67.11187458,7.874786492,3.509699876,-84.01666004
68.11187237,5.771558048,5.476691919,-95.10365492
69.11187005,7.47317499,5.084664969,-86.66073401
70.11186776,7.367833862,5.240015334,-88.80485579
71.11186544,5.690988379,5.060410046,-93.66291732
72.11186319,7.80410987,3.393678203,-92.23857025
73.11186084,8.007701507,4.576530495,-91.78559826
74.11185858,6.814426558,5.130491046,-89.76559441
75.11185631,7.629077466,4.89225301,-88.91643047
76.11185397,7.138823297,3.979597443,-93.86435236
77.11185156,6.621176527,3.80118102,-95.57935642
78.11184921,5.157983961,5.664624125,-94.43332348
79.1118469,-1.329409736,3.84538101,-99.65162225
80.11184457,-6.461396346,4.012395162,-106.0336323
81.11184222,-4.83824433,3.855595759,-105.806329
82.11183989,3.823557005,3.856603686,-93.67227042
83.11183745,6.210494024,4.785557453,-93.91770024
84.11183506,10.5602789,4.080472445,-92.26589112
85.11183273,10.14159556,1.440092649,-98.69398738
86.11183033,11.34951824,0.5020166369,-107.6031724
87.111828,12.20792655,-0.1821724175,-118.9865188
88.11182556,12.40132617,-1.183620563,-125.6844998
89.11182321,10.29322055,-2.377221315,-134.6269587
90.11182085,11.01256178,0.6086242989,-137.4040628
91.11181843,6.260389765,4.582750105,-132.2994443
92.11181605,10.50272281,5.232932283,-132.3974418
93.11181361,10.64702314,5.083900098,-133.3254077
94.11181127,10.36755097,5.166391674,-129.5395618
95.11180884,9.309624952,5.393628107,-133.2837036
96.11180647,9.07186261,5.39359955,-131.3576939
97.11180407,6.156289519,5.948266842,-132.8704923
98.11180165,8.557096725,5.269072726,-133.8275308
99.11179923,8.710695469,4.405593773,-133.0704315
100.1117968,8.28745377,5.771457909,-134.6355321
101.1117944,7.17994735,5.330506383,-130.5076804
102.111792,7.245559342,4.484010556,-132.2302629
103.1117896,7.006137314,5.324772597,-132.9122805
104.1117872,6.643797325,5.383827089,-130.0864884
105.1117848,6.292445446,4.993542212,-131.3502736
106.1117824,6.461750418,4.983897508,-133.0987153
107.1117799,7.561464927,5.731364164,-131.7996556
108.1117774,7.801556007,4.049987964,-130.8596612
109.111775,7.191334209,4.900968223,-133.6071729
110.1117727,7.725648939,6.418593047,-129.3923068
111.1117702,7.496507473,6.741595339,-129.8160344
112.1117677,7.307100459,5.91743477,-130.3632558
113.1117653,7.608200015,4.675348041,-131.1948999
114.1117627,6.940662883,3.795760796,-132.3913287
115.1117603,7.429359761,4.922369339,-133.1634386
116.1117579,6.375046224,4.421508475,-131.030851
117.1117554,5.945509503,5.471907624,-128.7065371
118.1117529,5.815331385,5.066132727,-129.3835372
119.1117504,6.589152564,4.863609291,-133.040837
120.1117479,6.498650299,4.229693825,-130.6321806
121.1117454,7.197947611,6.318491402,-133.0744804
122.111743,7.572435137,7.103038127,-133.0058635
123.1117405,7.178572829,6.693421141,-129.9289333
124.111738,7.072280159,7.413999971,-131.6343188
125.1117356,6.966452513,4.749622126,-131.6878567
126.1117331,6.819010927,5.269570358,-131.4004626
127.1117307,6.434780402,5.694946674,-126.4360892
128.1117282,6.235131852,4.093580727,-128.2240858
129.1117257,6.321362508,5.183831429,-127.2524675
130.1117232,6.245176043,6.157524538,-127.4480241
131.1117208,7.058456005,5.791963176,-127.303043
132.1117183,5.778796375,3.836078682,-127.6832682
133.1117159,5.914746892,4.140790512,-127.5009279
134.1117134,5.838912647,3.432618614,-129.3495015
135.1117109,5.648354415,3.501727195,-126.2005639
136.1117085,5.24218419,5.023420476,-128.353259
137.111706,5.930203375,4.912616757,-128.2462054
138.1117035,6.228438901,4.466228286,-125.5888661
139.111701,5.942463699,4.59307329,-125.2569042
140.1116985,6.102660547,4.875693506,-127.3043763
141.111696,6.18916255,4.731225606,-126.2698375
142.1116935,5.88843309,4.691629607,-126.2253807
143.1116911,5.497571349,5.502746884,-127.0362642
144.1116886,4.663920151,5.219757857,-126.5208698
145.1116861,4.849616538,5.309561357,-123.9600666
146.1116836,3.70226779,5.088587885,-126.6048269
147.1116812,-1.968494833,5.842119543,-127.534124
148.1116788,-8.760098015,5.366328547,-132.3329023
149.1116764,-6.969882747,5.431608664,-133.8605071
150.111674,-0.2074164399,7.576946616,-131.2414433
151.1116715,4.958861663,11.766811,-115.4082913
152.1116691,5.273918126,14.91364926,-95.47054859
153.1116666,8.446354459,14.95771331,-66.55396133
154.1116642,11.28900542,9.977464173,-49.29121937
155.1116617,10.68073859,8.453584763,-42.3477179
156.1116593,9.328580199,6.082261102,-40.65004983
157.1116569,8.602229691,6.349358508,-40.45435188
158.1116544,6.861414331,5.548249145,-42.28958496
159.111652,5.047952833,5.493760879,-44.01829507
160.1116496,2.430816537,5.352804993,-44.84884539
161.1116471,-0.1941478983,2.68453674,-50.65240054
162.1116447,3.399142109,1.348835891,-63.67999443
163.1116422,4.8463459,2.542917287,-77.79002178
164.1116398,8.582053881,1.780743891,-94.84262156
165.1116374,9.085875375,1.685622334,-111.8667746
166.111635,10.20313591,1.959169363,-122.8567431
167.1116325,9.785698276,3.869106763,-129.2273587
168.1116301,9.291509453,6.990124543,-134.1034617
169.1116277,7.377952064,8.507817614,-139.951507
170.1116252,5.817209788,7.830323643,-137.5405802
171.1116227,5.730867323,8.563361145,-132.1190567
172.1116203,6.365078399,7.573328813,-130.2931987
173.111618,6.872631939,8.035706099,-130.5793111
174.1116155,2.172899384,4.589266528,-130.2378283
175.111613,5.460184684,6.641815451,-118.6451788
176.1116106,4.409945241,3.902437471,-115.4149815
177.1116082,3.215524739,4.070604316,-114.9402837
178.1116057,4.138524896,1.915306831,-115.1247059
179.1116033,3.455666112,2.194140219,-115.8754345
180.1116008,2.324850354,2.30134006,-117.3858559
181.1115983,-0.4304226223,2.105138801,-119.1207101
182.1115959,-0.7926203282,1.934358289,-120.2001429
183.1115934,-1.376301733,0.6663002785,-124.0179458
184.111591,-1.031666774,-6.214285209,-139.8642403
185.1115885,4.465385176,-6.17606389,-168.2810216
186.1115861,7.503159013,-6.085561277,165.6454802
187.1115836,7.506912968,-2.898372454,148.017581
188.1115812,4.526244983,-1.78077479,143.5193746
189.1115787,2.462873408,0.190643583,144.1102498
190.1115763,2.245564805,1.578412223,140.7066973
191.1115737,0.403621828,2.735407654,137.7422265
192.1115713,0.9419223023,4.074093429,140.5968551
193.1115689,2.61140787,8.270437741,154.6382284
194.1115663,4.601621001,14.6152917,-173.9769044
